"18"	343.4
"19"	213.3
"20"	165.0
"21"	350.9
"22"	206.4
"23"	246.3
"24"	233.8
"25"	197.5
"26"	242.1
"27"	228.1
"28"	209.1
"29"	215.9
"30"	235.8
"31"	267.2
"32"	207.9
"33"	325.3
"34"	245.5
"35"	211.6
"36"	246.6
"37"	249.3
"38"	193.5
"39"	169.3
"40"	250.8
"41"	268.6
"42"	303.5
"43"	230.6
"44"	282.2
"45"	309.5
"46"	223.7
"47"	233.2
"48"	281.4
"49"	184.7
"50"	254.6
"51"	302.1
"52"	340.6
"53"	222.9
"54"	278.1
"55"	295.5
"56"	306.7
"57"	258.8
"58"	116.5
"59"	220.0
"60"	202.7
"61"	256.2
"62"	220.8
"63"	384.0
"64"	281.3
"65"	298.2
"66"	276.4
"67"	214.6
"68"	269.6
"69"	235.2
